v1,v2
G,"""Not to my tastes for myself,"" Emma said, even as she accepted the invitation to inspect the art on the Tattooed Woman's back. ""But I can admire those who take the time to endure the process, and become a canvas of art for posterity."" ""I suppose in your line of work, it would mark you out too much."" ""Indeed."" Emma studied the most recent additions, and what she'd been looking for. ""Thank you, miss. Your latest artist did leave a clue for me in this."" ""Glad to help,"" the woman answered, before pulling her robe on and seeing Emma out."
G,"'You don't strike me as a criminal.' Viktor stated, his tone surprisingly calm and collected for someone who just witnessed their boyfriend order two men to ‘deal with someone.' Jia glanced up from the paperwork on his desk, his magenta coloured eyes meeting the Russian's maroon ones. His face adopted a lazy smile, leaning back in his chair slightly. 'Well,' Jia purred. 'That's what makes me so good at it.' Viktor paused. He inhaled, slightly taken aback at how laidback the Asian was about the whole situation. How calm and lax he was. Like it was all normal. The worst thing, however, was that Viktor knew that Jia was right."
G,"Title: Six Months Missing Fandom: Venom Author:  xzombiexkittenx Reader: Litra Pairing: gen Rating:  gen Length:  10:34 Summary: Riot lives in the old woman for six months. This is a small piece about their relationship. "" Good luck with that , she tells Riot.  Seven billion people, supers, gods, and monsters. And you are alien hagfish slime, allergic to oxygen. Riot doesn't like being insulted. It roars in her head but she's been yelled at before and hasn't been afraid of shouting in a long time. There are much worse things than a raised voice, and the dog that barks the loudest doesn't always bite hardest.  We are not a dog!  Riot snarls. No,  Alya agrees.  A dog can survive on its own. ""   The original work can be found Here   Right click to Download"
G,"""You idiot!"" Ray shouted as she slapped him, tears starting to form in her eyes. Zack looked shocked. His eyes were wide open, staring at Ray with a concerned look. Ray didn't give a chance for Zack to respond. She continued. ""Why did you go out without me?! You know how the police are these days! Posters of you are everywhere, Zack! Anyone could just spot you walking in an alley and report you to the police!"" ""Why're you so stupid?!"" Ray scolded. ""H-hey Ray..."" Zack walked towards Ray, wrapping his arms around her. Ray sniffled into Zack's hoodie. ""Wh-what.."" ""What am I to do i-if you're not around?"" Ray sobbed. ""How can I take care of myself when you're not here?"" She hugged Zack. ""I-I'm sorry, alright?"" Zack pushed his nose into her golden hair. He put his fingers under her chin and lifted her head up so that she was looking at him. He had to say something to lighten up the mood. He stared into her blue eyes. ""Wanna get something to eat?"" Ray smiled and nodded. ""O-of course"
G,"Angels' chosen to ignore the lack of a collar, bitter as it makes her. They put around her neck a pink ribbon. She's had such before, it's not new. She should feel happy to have it, wag her tail, look cute, but she can't bring herself to. Everyone around her has a collar, older, younger, they all bear it. She does not. These people – Jim dear and Darling. They talk to her like a puppy. Like a child. Like she's some young dog. She hates it, bares teeth at it, then is reminded this is her last shot. Angel doesn't believe a chance will come after this. Angel knows her luck. She can't go back to Buster now, either. She hears talk, people speak of money and coins. She's seen the flat, shiny objects, they mean nothing to her or dogs, but she knows they effect how many things a person can have, dogs included. Still, she feels she should be grateful. But Angel also feels she can't trust these people."
G,"Deltas are women, sisters, daughters, Girls with blackened eyes and split knuckles. Deltas break windows, noses, and hearts, Their teeth are crooked, their jeans are torn. Deltas were all cast aside for another, They belong only to themselves now. Deltas are dirty fingernails and bloody noses, Cigarette ash and whiskey breath. Deltas drifted together and held on tight, They scream at the sky over the roaring ocean. Deltas bury past husbands and lovers, They don't step around, they walk right over you. Deltas glare from the dark with shining eyes, A clowder of cats, a pack of wolves. Deltas come and go as they please Don't ask them where they've been. Deltas are hellions and goblins, they are the moon, They are the color red, they are poisonous flowers. Deltas are women, sisters, daughters, Deltas answer to none."
G,"The red candles burn heavy in the main halls. The wax spills over and burns her hands. It chokes with the sting but it at least it keeps her present. At least it keeps her away from those other times. Keeps her from drowning in the memories. Sneaking to Alex's quarters. Laying her head down in Alex's lap. Alex reading out the latest chapter of her latest shitty romance novel. Alex, when she believed in happy endings. Alex never understood, though. There's only ever been one gift you can give someone you love. And when the time comes- She jumps."
G,"David hadn't made up his mind on what to think of Racer. The other guys seemed to have warmed up to him, but Racer was a mystery. He hoped that would change, but the strike had been over for a couple of weeks and he still was no closer to the blonde. 'I really should go home.' David told Jack, even as he followed the other boy to the Boarding House. 'Nonsense!' Jack replied, 'Stay for a bit. We've all been to yours, but you've been been to where we live.' David didn't bother arguing as Jack pulled him into the building. 'Kelly, you're later than usually,' Mr. Kloppman greeted. Turning his gaze to David, he asked, 'Who's the boy with the big head? He looks like a toothpick with a watermelon on top of it.' Racer, who had been coming down the stairs, burst out laughing. When he noticed the blank looks on Jack and David's face, he asked, 'Are we going to pretend that wasn't funny?' 'Were are you going?' Jack asked as the blonde headed back to the door. 'I'll be back by bell.' was all the younger boy said before closing the door behind him."
G,"Fred and George were leaning against the wall of the parlor in Grimmauld Place, watching as Hermione spoke to Oliver Wood on the other side of the room. She looked amazing, so much lighter than did with the pressure of of school and the war on her. 'I don't get it,' George took a gulp of his fire whiskey, 'two red-headed gods and she picks Oliver Wood. Maybe she feels sorry for him' 'No,' Fred replied as Hermione threw her head back, laughing at whatever the rising Quidditch star had said, 'she doesn't know him the way we do.' 'She looks happy.' George responded, 'Happier than I've ever seen her.' 'Well, she no longer has to get Ronald passing grades.' Fred laughed dryly, 'They look good together.' 'We gotta make sure he doesn't screw this up.' 'That's asking a lot,' Fred grinned, 'Remember the last one?' 'None of his past girls were anywhere close to Hermione's caliber. She's special, unique.' 'Terrifying.' 'Beautiful.' 'Intelligent.' 'Funny.' 'Everything he could want.' Fred nodded, 'Yup, he will definitely need our help.' 'Tomorrow.' George responded, the twins watching as Hermione left the room and Oliver followed right her."
G,"Jack couldn't believe it had come to this. He had never needed relationship advice. Ever. But he had somehow managed to snag a date AND maintain a relationship with Katherine Pulitzer and he had no idea what to get her for Valentine's Day, which is how he ended up at Spot and Racer's apartment. 'Spot once gave me a five-pound box of candy on Valentine's Day anonymously.' Race said, pouring a cup of coffee. 'I never sent you a five-pound box of candy.' Spot's forehead creased in confusion. 'You didn't?' Race turned to face his long-term boyfriend. 'No.' Spot glared at his coffee cup, 'I didn't.' 'Then I must be engaged to the wrong man.' Race smirked, laughing brightly as Spot turned his glare to the blonde. Turning back to Jack, he said, 'As long as it comes from your heart, she'll love it. My favorite gift Spot ever gave was the song that he wrote for me. Just think about it.' Jack was silent for a minute before it dawn on him. He shouted a quick goodbye before he ran out of the apartment."
