entry	HITS	KUDOS	TAGS	ID_NUMBER	TEXT	TITLE	WORDCOUNT	MAINTAG	SUMMARY	COMMENTS	DATE	BOOKMARKS
0	0	0	Creator Chose Not To Use Archive Warnings,Original Work,No Fandom,Original Female Character/Original Male Character,The Student,The Queen,Poetry,Bad Poetry,quick poem,Rhyming Couplets,short and sweet,Quick work because I was bored,Wordcount: 100-500,	17912156	See the standing of the student, I think he's angry at the coolant.  ***  He finds it hard to see the tiger, Overshadowed by the deadly geiger.  ***  Who is that frightening near the ace? I think she'd like to eat the marketplace.  ***  She is but an adorable queen, Admired as she sits upon a limousine.  ***  Her weak car is just a leaf, It needs no gas, it runs on graeff.  ***  She's not alone she brings a pot, a pet flea, and lots of knot.  ***  The flea likes to chase a pen, Especially one that's in the penh.  ***  The student shudders at the exciting pepper He want to leave but she wants the leper. 	The Student and the Queen	112	General Audiences	 	0	2019-02-24	0
1	0	0	Creator Chose Not To Use Archive Warnings,F/M,Original Work,No Fandom,Simon/Wenna,Simon,Wenna,Poetry,Bad Poetry,Villanelle,short and sweet,Wordcount: 100-500,	17912054	Simon couldn't stop thinking about the snake It was just so mighty and cold But he could never forget the stake  ***  That morning, Simon was shocked by the cake He had to calm himself with a mould Simon couldn't stop thinking about the snake  ***  Later, Simon was spooked by a sake He tried to focus on a household But he could never forget the stake  ***  Wenna tried to distract him with a steak Said it was time to start thinking about a gold Simon couldn't stop thinking about the snake  ***  Simon took action like a rake The snake was like a toxic scold But he could never forget the stake  ***  Simon nosedived like a grand wake His mind became dangerously stronghold Simon couldn't stop thinking about the snake But he could never forget the stake 	Simon's Torment	135	General Audiences	Why you should never love a snake. 	0	2019-02-24	0
2	7	1	No Archive Warnings Apply,F/F,Marvel Cinematic Universe,Thor (Movies),Marvel,Brunnhilde | Valkyrie/Sif (Marvel),Sif (Marvel),Brunnhilde | Valkyrie (Marvel),Femslash February,Femslash February 2019,Drabble and a Half,Alternate Universe,Bets &amp; Wagers,Fluff,Mother-Daughter Relationship,	17911868	"""You know, my mother always used to say that I would never so much as breathe the same air as a Valkyrie. To discourage me from pursuing sword mastery and fighting.""             ""Oh I don't. Then I couldn't take you out of this armour now.""    ""You know, I still suspect that you let me win our bout.""       "	(Not Only) To The Victor Go The Spoils	150	General Audiences	Sif's mother was wrong. (Written for Femslash February 2019. Sif/Brunnhilde, AU, complete.) 	2	2019-02-24	0
3	UNKNOWN	0	No Archive Warnings Apply,Gen,Original Work,Poetry,beauty is only skin deep,Not all that sparkles is gold,careful what you find yourself attracted to,	17910497	There's always more to someone,  than meets the eye.     Love a person,  for their spirit within,  not for their physical beauty.     For in time,  beauty will always pass,  but their soul,  will forever remain the same.     This may be something,  that's already been stated throughout each generation,  though,  tonight,  I've decided to speak up,  for the things I've seen,  with my own eyes.     Sometimes,  the best things come from what we find unattractive.  And the things we're drawn to,  because of its beauty,  turns into the most horrid of things.     Be careful,  to whom you judge,  you never know,  when someone might say the same things,  about you.     Beauty is only skin deep.  The soul,  is what will forever remain the same.     Our differences,  are what define us,  even through all the vanity. 	Physical	133	General Audiences	 	0	2012-11-21	0
4	1	0	No Archive Warnings Apply,Gen,Video Blogging RPF,Sean McLoughlin,Jack Septiceye,Antisepticeye - Character,fic idea,Free to a good home,	17909963	When walking in the woods playing Pokémon Go and you come across a fariyring, don't try &amp; capture the Pokémon that appears there.  _-+-_  I also have a vague idea about Jack's tattoos since his first one Bold Hunter's Mark from the Bloodborne which, in the game, allows you to warp back to the last fire without losing anything important &amp; his second one is a sigil from Shadow of the Colossus; a week-point but meant to contain the essences of the bad guy within the colossi.  But I have no idea how to tie that into anything so  that's  not going anywhere. 	random idea for an origin for Anti	110	General Audiences	just as couple of stupid JackSepticeye ideas 	0	2019-01-14	0
5	127	18	No Archive Warnings Apply,M/M,Gotham (TV),Oswald Cobblepot/Edward Nygma,Oswald Cobblepot,Edward Nygma,Episode: s05e07 Ace Chemicals,Crack,Fluff,Short,like really short,Nygmobblepot,Season/Series 05,	17909462	They still looked after her as Barbara's footsteps disappeared in the distance.   'Edward', Oswald suddenly said. Ed turned toward him. 'Yes?' 'No, I meant...' Oswald's voice trailed off. 'When Barbara pointed that gun at me, I was reminded of my mortality. And... for that eventuality, there's something I'd like to discuss with you. As long as I still can.' 'Yes?', Ed said smirking and took a step closer. Oswald looked up into his eyes. 'Would you please take care of Edward if I die?', he said sincerely. ' What? ', Ed spluttered. 'Edward, my dog.', Oswald explained. 'If something happens to me, would you take care of him?' Ed stared at him dumbfounded. ' That's  what you wanted to discuss?!' 'Why, yes.', Oswald said. 'He's helpless without me.' Ed just gaped at him, so he prompted: 'So?'. 'So?', Ed asked. 'Would you take care of him?', Oswald repeated. 'I... I guess I could do that.' 'Thank you.', Oswald said and smiled. 'I'm glad I can rely on you, as a  friend .'   	If I die	168	General Audiences	Just a short piece of dialogue that takes place directly after 5x07 	3	2019-02-24	0
6	1	0	No Archive Warnings Apply,Gen,Jurassic Park - All Media Types,Jurassic World Trilogy (Movies),T-Rex (Jurassic Park),The Raptor Squad (Jurassic Park),Owen Grady,Barry (Jurassic Park),Dinosaurs,Crack,fic idea,Free to a good home,	17909297	This is total crack but: Dr Dolittle (or one of his decedents) arrives at Jurassic World. Probably before the movie. Maybe they're part of a team to check to make sure the dinosaurs are being treated well. Maybe they work there. Heck, maybe Barry's last name is actually Dolittle. (And he's constantly amazed how well Owen gets the raptors despite the fact they can't speak to each other). The point is, being a Dolittle means all animals sound like they're speaking English. But these are dinosaurs, so they sound like they're speaking old English.  Maybe the T-rex is speaking like Shakespeare or the Apatosaurus talk like something out of Pride &amp; Prejudice. I have this really bizarre image of the raptors talking like pirates &amp; calling Owen captain.  This is utter crack and, as I can in no way write accents or dialects, I'm never going to write this. 	Dr Dolittle at Jurassic World	147	General Audiences	The title pretty much says it all 	0	2015-08-03	0
7	2	0	No Archive Warnings Apply,Avatar: The Last Airbender,Sozin (Avatar),Roku (Avatar),fic idea,Free to a good home,Alternate Universe,For Want of a Nail,	17909033	What if Sozin died with Roku (or maybe instead of).  They'd be no war so what would the characters be doing? Aang would probably still have run away but with less consequences. Katara would have had waterbenders to learn from in the south pole. It's doubtful Ozai would be fire lord but would he be as bad as he was? And it's very doubtful Toph's life have changed at all.  I had a vague idea of there being some sort of evil organisation working in the shadows of all four nations (maybe started by Sozin) kind of like an evil order of the white lotus. Of course I can't think of what else to do with it so it on the stories-I'll-never-write pile. 	What if Sozin died early	123	General Audiences	Fic idea I got from a dream I had (Thought of before Legend of Kora came out) 	0	2011-03-09	0
8	8	0	No Archive Warnings Apply,Gen,Stargate SG-1,Buffy the Vampire Slayer (TV),Harry Potter - J. K. Rowling,X-Men - All Media Types,Highlander: The Series,Multiple Crossovers,fic idea,Free to a good home,	17908970	A Stargate team (SG13 might be a little cliché but lets go with it) finds out their members are a little unusual.   This is just basically an excuse to have a big crossover fic. I thought of it when I was reading a Xander joins the SGC story. So Xander (Buffy the Vampire Slaver) joins the SGC (Stargate SG1) sometime after graduation maybe. And on his team are a mutant (X-men) a witch/wizard (Harry Potter) an immortal (Highlander) and anyone else I can think of. I kind of wanted it to be with side characters or even original ones but I could never think of any situations for them to get in. No plot means no story so this remains on my never-going-to-write pile. 	Old SG1 crossover idea	125	General Audiences	I like crossovers. I'm pretty sure I'm dating when I thought of this idea just by what shows/books I mention here 	0	2010-10-10	0
9	4	0	No Archive Warnings Apply,Gen,Gargoyles (Cartoon),Superman - All Media Types,Yu-Gi-Oh! Duel Monsters (Anime &amp; Manga),Iron Man (Movies),Batman - All Media Types,David Xanatos,Lex Luthor,Kaiba Seto,Tony Stark,Bruce Wayne,fic idea,Free to a good home,Multiple Crossovers,	17908922	David Xanatos from Gargoyles, Lex Luther from smallville(or wherever), Seto Kaiba from Yugioh, Tony Stark from the Iron man movies and Bruce Wane from either the Nolan movies or the animated series (and any other rich character from a fandom I can remember) are all a some high class party, all secretly bored out of their minds. Then some high tech thieves try to crash the party to rob/kidnap the people there. Cue the assembled heroes and villains to fight off the intruders while not letting on to the other guests their combined badassery.   This would be a good excuse for all sorts of shenanigans but I'm coming up blank when I try to think of details.  I'll never write this not only because I don't have an ending or even a plot but also because I don't think I could actually write any of these characters convincingly. 	Bored rich people at a party	150	General Audiences	Or should that be bored rich heroes and villains at a party 	0	2010-09-27	0
