entry	HITS	KUDOS	TAGS	TEXT	TITLE	WORDCOUNT	COMMENTS	SUMMARY	DATE	BOOKMARKS
0	3	0	General Audiences,No Archive Warnings Apply,M/M,Super Mario &amp; Related Fandoms,Super Smash Brothers,Luigi/Waluigi,Luigi (Nintendo),Waluigi (Super Mario),Romance,Gay Male Character,Hugging,Day At The Beach,Fluff,Fluff-uary 2019,	17651150	Luigi and Waluigi walked along the beach hand in hand, enjoying the salt air and the crashing of the ocean waves.  The moon was bright and full, illuminating the couple as they enjoyed each other's company. 'See?  I told you we'd get our vacation on Delfino Island eventually,' Luigi said to his companion.   Waluigi said nothing, instead losing himself in his thoughts.  He had been oddly quiet during the walk, and Luigi was beginning to wonder why.  'Something on your mind, Waluigi?'  Waluigi stopped and turned to face Luigi.  'No, it's nothing.  Well, it's just...what are you doing with me, Luigi?  I'm not a hero like you, quite the opposite in fact.  Up until recently all I did was steal treasure with Wario.' Luigi reached up and cupped Waluigi's cheek with his hand.  'You are so much more than a thief.  I hope you know that.  You're sweet and kind, and one hell of a kisser.'   Waluigi laughed and pulled Luigi into his arms.  Somehow Luigi always knew what to say. 	Beach Walk	172	0	On a vacation on Delfino Island, Waluigi begins to wonder if he is good enough for Luigi. 	2019-02-04	0
1	3	0	General Audiences,Creator Chose Not To Use Archive Warnings,Gen,Kingdom Hearts,No Spoilers,Prose Poem,	  My heart's a battleground  wrought with the footsteps  of those who would wish me harm.  There's blood soaking into the ground,  Turning dirt into thick, filmy mud.  Once glistening blades have dulled with rust,  Forever lost from their masters hands.  Creatures move through the shadows,  and light that once shone through any darkness  grows weak as the war around me rages.  There are no bodies among the rubble,  though the howling winds are heavy with upturned dust  and charged with electricity.  Walls are scorched and dripping,  chunks missing along the gashes  in the marble and stone.  We are separated, but hope never dies.  Our hearts and minds beat as one.  This battle has gone on for far too long.  It will end with us.  We are the light that will shine through the darkness. 	Battle in the Crevice	134	0	We are the light that will shine through the darkness. 	2019-02-03	0
2	1	0	General Audiences,No Archive Warnings Apply,Gen,B.A.P,Jung Daehyun &amp; Kim Himchan &amp; Yoo Youngjae,Jung Daehyun,Kim Himchan,Yoo Youngjae,rainy day,Snuggling,Platonic Relationships,platonic HimDae,platonic DaeJae,Drabble,Each drabble in this series is stand alone,	The door burst open with Himchan arriving, soaking wet due to sudden rainfall.   'Did you get lunch?' Daehyun asked.  Himchan held up a bag of take-out, slamming it on the coffee table.   Grinning with delight, Daehyun immediately began helping himself. Himchan felt so exhausted, he sat on the couch and laid back against his arm, scrolling through his notifications. Youngjae appeared on the other side, laying on Daehyun's lap whilst playing with his handheld.  Daehyun was getting irritated. 'Hey, I am NOT a pillow!'  'Yes, you are.' Himchan said.  'Be glad that we love you.' Youngjae added.  Daehyun couldn't complain. 	Crowded Sofa	100	0	They're comfortable except Daehyun. 	2019-02-03	0
3	9	0	General Audiences,No Archive Warnings Apply,F/F,Marvel Cinematic Universe,Thor (Movies),Marvel,Jane Foster/Sif,Sif (Marvel),Jane Foster (Marvel),Femslash February,Femslash February 2019,Drabble,Alternate Universe,POV Female Character,	It's easy to feel lost, now that Asgard is gone. She spends much time on Earth now, helping Thor's new band of warriors defeat their foes. But this, Sif thinks, is where she can feel at home even with Asgard naught but a memory. She rests her head on Jane's hair and breathes in the smell of Earth flowers. Incredible how much wonder and passion can fit into Jane's slight frame. The marvel of Midgardians. Here, she is content. With Jane by her side or Thor at her back inbattle she is the most herself. And not at all lost. 	Not Lost	100	0	With Jane in her arms Sif can't feel too lost. (Written for Femslash February 2019. Sif/Jane, AU, complete.) 	2019-02-03	0
4	7	0	General Audiences,No Archive Warnings Apply,Gen,The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,Ar-Pharazon/Tar-Miriel,Tar-Míriel,	'Such wonderful news from the war, my lady! The king has swept all before him.'   Miriel mustered a smile for the benefit of her attendant, a high born Númenorean woman who normally displayed considerably less sound good sense than the palace cat.   From the size of the force her husband had taken across the sea, she would have been very surprised if he'd returned with his tail between his legs.  For all his arrogance, he was a strong leader with a golden touch, and his men would follow him anywhere.  As would the women of the palace.  All except her. 	Jewel in the Crown	100	0	The king's golden touch not not please everyone. 	2019-02-03	0
5	3	0	General Audiences,No Archive Warnings Apply,Gen,Emerald City (TV 2016),The Wizard Of Oz (1939),Avengers (Comics),The Wizard of Oz &amp; Related Fandoms,Dorothy Gale (Emerald City),Dorothy Gale,The Wizard | Frank Morgan,The Wizard (Oz),Mistress West,Wicked Witch of the West,Various Characters,	"   DOWNLOAD  /  subtitles    Audio:   ""Look Into My Eyes,"" Janelle Monáe  Video: Emerald City  (NBC, 2017), episode 6 ""Beautiful Wickedness,"" teleplay by Kelly Sue DeConnick The Wizard of Oz  (dir. Victor Fleming, 1939) Avengers Fairy Tales, No. 4 (Marvel, 2008)  Tickled by the challenge playlist for guest of honor  Kelly Sue DeConnick , I figured I could manage a one-shot vid for the  Emerald City  episode that she wrote. It seemed appropriate to choose another song from the same album, and ""Look Into My Eyes"" was the shortest! It was perfect for the theme of media authorship as adaptation and transformation. I wanted to incorporate some comics since that's DeConnick's primary oeuvre. Did I know that Marvel did an Avengers reimagining of  The Wizard of Oz ? I did not! I found that by looking on Wikipedia. "	[VID] Look Into My Eyes	133	0	"""These eyes long to make you a perfect work of art..."" "	2017-05-27	0
6	4	0	General Audiences,No Archive Warnings Apply,Gen,Janelle Monae - Works,Many Moons - Janelle Monáe (Music Video),Metropolis (1927),Westworld (TV),Battlestar Galactica (2003),George Clinton and the P-Funk All Stars - Works,Fanvids,Video Format: Streaming,Video Format: MP4,WisCon VidParty,	"   DOWNLOAD  /  subtitles    Audio:  ""Our Favorite Fugitive (Interlude),"" Janelle Monáe  Video: Metropolis  (dir. Fritz Lang, 1927) Westworld  (2016- ) Battlestar Galactica  (2003-2009) Janelle Monáe,  Many Moons  (dir. Alan Ferguson and The Wondaland Arts Society, 2008) George Clinton and the P-Funk All Stars,  If Anybody Gets Funked Up (It's Gonna Be You)  (dir. David Nelson, 1996)    ""Robot Love Is Queer"" was the inspiration for and introduction to  my WisCon playlist . I've always wanted to vid one of the talk radio interludes on  Electric Lady . When I developed the concept, did I know that George Clinton put out a Metropolis-themed music video in 1996? I did not! I found it randomly after downloading a bunch of George Clinton material for DJ Crash Crash. Hat tip to for suggesting  Westworld 's Charlotte Hale to play Peggy Lakeshore. (Gaius Baltar was all me – he's the ultimate Josh.) "	[VID] Robot Love Is Queer	141	0	How do you know it's queer... if you haven't tried it?! 	2017-05-27	0
7	146	10	General Audiences,No Archive Warnings Apply,F/F,Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers,Lena Luthor,Alex Danvers,Femslash,Light Angst,Drabble,SuperCorp,Established Relationship,	The colour green was a complex one. There's Kryptonite, the one substance that could render Kara powerless, strip her of her strength, the one thing she prized so greatly. The green, whilst it looked bright, she associated with fearful, painful days spent in the DEO medbay, feeling empty- as if every fibre of her being had been drained from her. Heavy limbs, heavy head,  a fog so thick she couldn't function, sinking lower and lower and lower… Only to be pulled out of this spiral by the same colour which plunged her down into it. Bright green eyes, like jade, but somehow more pure and wild. The same green eyes that she wakes up to every morning, the same green eyes that glint with mischief, the same green eyes that fill with tears when she receives the same call from Alex because ‘damn it Kara why do you have to be so selfless', the same green eyes that comfort her, the same green eyes that she fell in love with the second she saw them. The eyes of Lena Luthor. 	Green	180	1	A drabble about the colour green and what it means to Kara. Established supercorp. 	2019-02-03	0
8	104	7	General Audiences,No Archive Warnings Apply,F/F,World Wrestling Entertainment,Professional Wrestling,Charlotte/Becky Lynch | Rebecca Knox,Charlotte (Professional Wrestling),Becky Lynch | Rebecca Knox,Friendship,Cuties,	There's a light kiss pressed so softly on her forehead, if she'd not been awoken by the sound of Charlotte entering moments ago, Becky wouldn't have felt it. She wouldn't have heard Charlotte's soft words, as she laid it all on the line to the beautifully unconscious Becky - because that was the only way Charlotte could get it out. She would have never known. . .  And as Charlotte drifts off, she's now left to wonder how much of this had she missed. How many visits hadn't woken her up. And what exactly Charlotte had said in her previous unheard midnight whispers. 	midnight whispers	100	1	"Just how many of these previous little visits had Becky missed? Prompt from 31_days - ""Midnight whispers"" "	2019-02-03	0
9	6	1	General Audiences,No Archive Warnings Apply,F/F,GLOW (TV 2017),Arthie Premkumar/ Yolanda &quot;Yoyo&quot; Rivas,Arthie,Yolanda,Fluffy drabble,Femslash February 2019,	"Arthie rests with her head on Yoyo's shoulder. They're probably half an hour's drive from Vegas.   ""Hey, sleepy - we're almost there"", Yolanda whispers softly into her girl's unruly mane.   ""Wha... Really?"". Arthie seems flustered. She lifts her head and cranes her neck so she can see out the window.   Yolanda let's out a raspy chuckle. ""Yeah - but you can't see Vegas from here"".   Arthie rolls her eyes and then settles herself back down against Yoyo again.   ""Wake me up when we get there"", she mutters softly in Yolanda's shoulder.   The other woman smiles, places a quick peck on Arthie's forehead and whispers,  ""Alright, baby"". "	Oasis In The Desert	104	0	Much needed Arlanda fluff for Femslash February 2019. 	2019-02-03	0
